Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
540073,BLS,A,287.75,291.80,282.00,286.85,141785,406.00,3047
540173,PNBHOUSING,A,931.25,955.10,919.50,934.65,43124,402.00,4095
500184,HSCL,A,448.35,452.00,439.20,444.15,90639,402.00,2258
539083,INOXWIND,A,107.35,108.55,103.80,105.60,372431,395.00,2525
543458,AWL,A,209.65,210.45,205.35,208.55,187805,390.00,3635
532714,KEC,A,658.70,659.35,635.75,649.75,60041,388.00,2345
500002,ABB,A,4691.00,4736.65,4640.50,4725.65,8247,386.00,1676
500850,INDHOTEL,A,644.25,653.40,638.00,652.45,59535,383.00,3465
540115,LTTS,A,3828.90,3855.95,3715.25,3848.00,9850,371.00,1863
500087,CIPLA,A,1378.00,1398.80,1366.80,1375.35,26926,371.00,2304
501301,TATAINVEST,A,625.90,634.00,613.05,624.10,59466,370.00,3066
535789,SAMMAANCAP,A,138.15,139.45,136.95,138.25,262912,363.00,4092
543988,NUVAMA,A,1408.75,1425.40,1377.95,1394.05,25982,363.00,1499
503310,SWANCORP,A,398.75,409.80,396.30,399.60,89048,359.00,2335
500290,MRF,A,142800.00,142800.00,137900.00,139500.00,256,357.00,236
533339,ZENTEC,A,1276.45,1300.55,1262.15,1285.30,27860,357.00,1944
543415,ANANDRATHI,A,3006.85,3051.95,2988.25,3025.00,11427,344.00,1216
544311,IGIL,A,298.05,299.95,291.20,292.25,117049,344.00,2720
540762,TIINDIA,A,2317.95,2330.15,2250.00,2280.75,15077,343.00,4044
532814,INDIANB,A,845.70,856.95,833.15,841.00,40142,339.00,1643
542216,DALBHARAT,A,2198.85,2229.85,2173.40,2226.50,15438,338.00,2950
533398,MUTHOOTFIN,A,3930.25,3999.00,3901.55,3981.10,8560,338.00,2307
532286,JINDALSTEL,A,1043.65,1057.45,1031.00,1038.50,32188,336.00,2046
500469,FEDERALBNK,A,270.95,275.95,268.80,272.40,122792,335.00,2366
500114,TITAN,A,4059.40,4110.00,4053.30,4086.70,8166,332.00,1621
532538,ULTRACEMCO,A,12037.20,12225.00,11991.75,12217.75,2742,332.00,1716
500820,ASIANPAINT,A,2658.50,2683.75,2646.70,2672.30,12399,330.00,1895
532605,JBMA,A,555.05,567.90,548.55,557.85,58029,324.00,2265
532175,CYIENT,A,1150.70,1171.20,1122.35,1138.25,28223,321.00,1769
500183,HFCL,A,63.72,63.72,61.95,62.97,510157,320.00,2603
541729,HDFCAMC,A,2500.85,2531.10,2454.95,2473.00,12836,319.00,2087
500550,SIEMENS,A,2847.65,2888.65,2827.00,2883.70,11094,316.00,1809
532805,REDINGTON,A,257.50,268.00,256.35,261.75,120286,316.00,2882
539876,CROMPTON,A,232.45,235.55,229.20,232.00,135263,314.00,2616
532977,BAJAJ-AUTO,A,9112.85,9250.00,9074.65,9140.95,3314,303.00,1887
500790,NESTLEIND,A,1291.85,1311.85,1280.70,1287.00,23008,297.00,1897
544390,ENRIN,B,2264.95,2280.55,2219.00,2239.00,13097,294.00,1776
