Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
543940,JIOFIN,A,306.30,308.00,305.15,305.90,729202,2234.00,10750
500469,FEDERALBNK,A,230.00,235.20,228.00,233.90,956066,2229.00,9623
500800,TATACONSUM,A,1154.65,1179.30,1154.65,1170.40,183953,2156.00,4219
532977,BAJAJ-AUTO,A,9100.00,9121.95,9055.45,9095.00,21725,1975.00,2849
513599,HINDCOPPER,A,346.50,352.90,345.35,348.00,561967,1963.00,9645
532149,BANKINDIA,A,134.25,139.95,133.80,138.70,1387406,1910.00,10145
532667,SUZLON,A,54.03,54.15,53.60,53.74,3527433,1900.00,30677
542011,GRSE,A,2611.60,2612.40,2557.55,2568.00,73235,1886.00,6737
506395,COROMANDEL,A,2171.80,2246.60,2158.95,2243.75,81287,1806.00,3335
544238,PREMIERENE,A,1073.45,1119.70,1069.15,1100.35,163819,1799.00,6057
543396,PAYTM,A,1286.55,1308.55,1280.50,1305.60,130408,1686.00,4762
524000,POONAWALLA,A,485.40,512.00,481.80,491.55,335705,1686.00,13069
500575,VOLTAS,A,1430.65,1440.00,1420.50,1435.15,114459,1639.00,7828
532648,YESBANK,A,22.69,22.94,22.67,22.79,7129822,1626.00,60235
515055,ANANTRAJ,A,618.00,634.80,616.00,634.20,256799,1605.00,6466
500400,TATAPOWER,A,395.25,401.50,395.25,400.10,400666,1602.00,8712
543232,CAMS,A,3881.10,3977.35,3881.10,3971.20,40240,1587.00,4892
500510,LT,A,3907.05,3947.25,3907.05,3929.45,40231,1581.00,5307
540222,LAURUSLABS,A,931.50,955.85,927.30,939.20,165902,1570.00,6383
532400,BSOFT,A,383.05,395.50,378.05,391.30,386453,1503.00,7001
500124,DRREDDY,A,1284.00,1293.65,1265.00,1283.75,116915,1501.00,9064
532555,NTPC,A,340.40,342.80,340.40,340.80,434731,1488.00,4881
543981,RRKABEL,A,1252.00,1345.00,1252.00,1325.00,112302,1486.00,5785
544225,OLAELEC,T,51.50,52.39,50.26,51.90,2725514,1391.00,13698
544285,SWIGGY,B,425.15,427.35,420.45,424.30,326144,1381.00,6028
500477,ASHOKLEY,A,136.35,141.15,136.35,140.95,939284,1313.00,9438
540180,VBL,A,462.00,468.10,457.05,459.55,283124,1307.00,3672
543237,MAZDOCK,A,2805.40,2832.90,2800.65,2815.90,45730,1287.00,2837
533278,COALINDIA,A,395.95,398.20,394.10,397.25,324104,1285.00,7301
540530,HUDCO,A,228.25,229.45,226.50,227.35,559568,1272.00,4569
532540,TCS,A,3063.20,3093.75,3060.90,3084.55,41082,1266.00,5057
511243,CHOLAFIN,A,1752.55,1780.90,1721.65,1740.80,71052,1246.00,8078
541770,CREDITACC,A,1422.50,1489.10,1414.80,1467.45,84645,1241.00,5725
532155,GAIL,A,180.65,181.60,179.55,180.00,685932,1240.00,5800
500182,HEROMOTOCO,A,5556.00,5663.90,5556.00,5650.00,21921,1235.00,4863
542216,DALBHARAT,A,2099.20,2105.85,2087.00,2100.90,59093,1235.00,1718
540699,DIXON,A,15479.95,15604.40,15367.50,15518.65,7804,1209.00,2475
544282,SAGILITY,B,47.63,48.49,47.13,48.26,2529116,1209.00,7113
543720,KFINTECH,A,1155.05,1178.80,1154.70,1175.00,101660,1189.00,5365
532497,RADICO,A,3225.45,3230.20,3189.75,3216.70,36756,1183.00,1257
500408,TATAELXSI,A,5544.50,5624.10,5516.90,5606.45,20826,1164.00,2796
500830,COLPAL,A,2255.50,2255.50,2209.30,2217.55,50652,1128.00,4448
532144,WELCORP,A,838.65,880.00,838.65,872.55,128984,1122.00,4145
500238,WHIRLPOOL,A,1372.60,1394.40,1362.15,1390.25,77416,1071.00,786
532947,IRB,A,43.45,45.50,43.45,44.83,2358386,1059.00,8718
532955,RECLTD,A,373.45,373.45,368.50,371.75,283062,1047.00,6240
520111,RATNAMANI,A,2444.05,2749.95,2431.15,2636.30,39517,1044.00,5424
532215,AXISBANK,A,1242.50,1258.00,1242.50,1253.65,82748,1034.00,5488
500163,GODFRYPHLP,A,3130.95,3171.00,3118.60,3159.00,32378,1018.00,3625
541154,HAL,A,4814.40,4833.10,4758.70,4763.00,21262,1018.00,2917
500104,HINDPETRO,A,439.25,454.25,438.45,451.40,218876,984.00,4581
541450,ADANIGREEN,A,1029.05,1029.05,1015.70,1016.90,96133,981.00,3741
542649,RVNL,A,329.30,332.55,328.70,330.60,296553,979.00,5656
542652,POLYCAB,A,7500.65,7699.00,7500.00,7670.10,12796,978.00,3509
500820,ASIANPAINT,A,2491.70,2529.50,2491.70,2520.00,38700,974.00,6308
500480,CUMMINSIND,A,4243.90,4312.00,4198.05,4302.95,22724,966.00,4895
500109,MRPL,A,145.45,152.90,144.30,150.10,596839,895.00,5612
544274,HYUNDAI,A,2295.50,2295.50,2248.00,2271.00,38822,880.00,3279
532187,INDUSINDBK,A,755.45,771.00,752.85,771.00,115134,878.00,4497
500084,CESC,A,179.30,183.25,177.15,181.85,480329,866.00,5771
532921,ADANIPORTS,A,1430.00,1430.00,1410.10,1419.25,60850,862.00,5081
543066,SBICARD,A,906.05,913.10,890.00,900.00,94932,856.00,6869
542651,KPITTECH,A,1181.45,1213.75,1181.45,1207.35,71264,852.00,2707
540750,IEX,A,147.80,149.45,145.90,147.15,577970,852.00,7640
540173,PNBHOUSING,A,913.95,933.20,910.35,926.20,91489,845.00,4158
500520,M&M,A,3634.65,3634.65,3594.00,3615.20,22344,807.00,4036
543664,KAYNES,A,6670.25,6748.45,6638.75,6699.95,12032,805.00,2530
500228,JSWSTEEL,A,1150.00,1156.50,1143.30,1151.00,69798,802.00,2642
530965,IOC,A,151.40,155.35,151.30,154.85,513969,790.00,5219
500114,TITAN,A,3702.60,3753.00,3702.60,3740.50,20999,784.00,3733
532234,NATIONALUM,A,237.05,238.85,236.50,237.90,328677,780.00,3478
539437,IDFCFIRSTB,A,78.22,78.90,77.67,78.05,984874,770.00,6653
500008,ARE&M,A,995.85,1004.00,994.75,1000.00,76425,764.00,2707
500086,EXIDEIND,A,389.00,390.25,380.10,381.90,196826,756.00,6191
543390,POLICYBZR,A,1676.50,1756.20,1676.50,1749.95,43555,749.00,3824
543300,SONACOMS,A,481.00,486.90,476.10,486.70,154610,746.00,4755
540902,AMBER,A,8389.10,8520.10,8314.40,8461.00,8837,744.00,1680
500878,CEATLTD,A,4145.50,4216.25,4022.00,4043.40,17840,735.00,2880
505537,ZEEL,A,104.65,105.40,103.35,103.40,703016,731.00,4766
532898,POWERGRID,A,288.60,292.70,288.35,291.00,246734,717.00,5442
532181,GMDCLTD,A,588.50,588.50,576.15,580.70,122839,713.00,2865
532966,TITAGARH,A,875.10,899.90,872.00,896.65,79581,705.00,3429
531531,HATSUN,A,919.45,1081.35,904.55,1081.35,65350,695.00,1673
500294,NCC,A,216.45,216.45,212.30,213.65,325426,695.00,3711
500483,TATACOMM,A,1894.05,1952.00,1890.35,1938.50,34735,669.00,3443
532892,MOTILALOFS,A,1036.40,1064.50,1035.50,1056.15,61915,651.00,2895
543278,KALYANKJIL,A,495.15,506.95,495.00,506.15,129298,649.00,2349
500425,AMBUJACEM,A,556.10,560.00,552.20,559.45,114569,636.00,5609
540073,BLS,A,318.90,319.40,313.00,314.50,199591,628.00,2805
500093,CGPOWER,A,726.10,729.65,724.40,729.20,85298,621.00,3457
500116,IDBI,A,94.25,95.80,94.00,95.49,649860,618.00,3422
